Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
elevated-crunches	Start laying on your back on a mat or a towel. Bring your hands up by your ears and take your elbows out wide. Then elevate your feet off the floor with a 90 degree bend at your hips and your knees. You want your thighs to be vertical and your shins to be parallel to the floor. This is the start position.	Medium	Low	abs	If you want to dial the intensity down a little, try resting your feet up on a chair, step or bench. Plus check out our Abdominal Crunch and Twisting Crunches exercises to build up core strength before tackling the Elevated Crunch.	Once you have mastered these, have a go at our Sit-Up, Supine Bicycle, V Sit-Up and V Balance exercises.	chair	False	https://sworkit.com/exercise/elevated-crunches
kettlebell-cross-crunch-right	Start laying on your back with your knees bent your feet flat on the floor. Hold the kettlebell in your right hand with the ball on the back of your arm. Extend your arm straight above you. Keeping your lower back pressed down into the floor, tuck your chin to your chest, draw your belly button down and contract your abdominals to roll your upper spine up off the floor. At the same time, twist from your core to push the kettlebell towards your left knee. This is the top position. From here lower yourself back to the floor by curling your spine down from bottom to top, as your head touches the floor. 	Medium	Low	abs, shoulders	An easier option for this exercise is to extend your legs so they are lying flat on the ground or to try our Elevated Crushes exercise. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-cross-crunch-right
forward-lunges	Start standing up with your feet at hip width, and your hands on your hips so that you can feel that they stay level as you step forwards and back. Also, before you start make sure you have enough clear level floor space in front of you to be able to take a big step forwards. 	Medium	Normal	calves, glutes, hamstrings, quadriceps	If you find the forward lunge to difficult to start with, try giving our Rear Lunge a try. It is very similar, except that you step back into a lunge and the return your back foot to be level with your front foot at the end of each repetion, which is easier.	Once you have mastered Forward Lunges check out our Reverse V Lunges and Lunge Jumps to take it to the next level. If you have the space, you can also join your lunges together to make it a Walking Lunge.	N/A	False	https://sworkit.com/exercise/forward-lunges
corkscrew	Lie on you back with your legs pointing up to the ceiling directly over your pelvis. Rotate the legs slightly into Pilates Stance with connected heels and toes apart. Open your arms on the floor to a 45 degree angle. Breathe in to prepare to move.	Easy	Normal	abs, lower back, quadriceps	Having the arms behind the head holding on to something solid will provide stability when you first try the exercise.	N/A	N/A	False	https://sworkit.com/exercise/corkscrew
arm-and-shoulder-stretch	Standing up, raise your right arm up to shoulder height and move it across your chest so that the palm faces back and your thumb is pointing up. Then use your left arm to hook around your right arm and pull it in towards you. You should feel a stretch around your shoulder and down your right arm. Hold for the required duration and then repeat on the left arm.	Easy	Low	upper back, shoulders	N/A	N/A	N/A	True	https://sworkit.com/exercise/arm-and-shoulder-stretch
three-legged-down-dog-right	From a standing position draw your belly button to your spine to active the belly and fold forward from the hips. Bend your knees as much as you need to get your hands to reach the floor. Walk your hands out in front of you towards a Downward Dog position. Have the knees slightly bent whilst simultaneously directing your heels towards the floor, stretching the back of the legs. Aim to create a straight line with your spine from hands to hips, pull your belly button to your spine and pull your lower ribs into the body. Press your hands firmly into the floor and make space between the arms and the ears. Slowly lift your right leg up as high as it will go whilst keeping your hips level. Hold for a few breaths. Then bring the right leg down and walk your hands back to your feet to rise back up.	Medium	Normal	abs, triceps, upper back, chest, shoulders, calves	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/three-legged-down-dog-right
resistance-band-bent-over-row	Stand on your resistance band with your feet at shoulder width and the handles crossed to make an x. Bend over with a flat back and chest up. Pull your hands towards your chest with elbows out. Try to pinch your shoulder blades together.	Medium	Low	upper back, glutes, hamstrings	N/A	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Resistance Band	False	https://sworkit.com/exercise/resistance-band-bent-over-row
foam-roller-peroneus-right	Lay on your right side with the roller under your lower leg and your right elbow on the ground. Use your left hand to move your body, so the roller moves between your knee and ankle.	Easy	Low	calves	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-peroneus-right
happy-jacks	Stand tall with your feet slightly wider than shoulder-width. Raise your hands up, palms facing forward with upper arm and forearm creating a ninety-degree angle. Keeping on your toes, jump your right leg straight out to the side whilst leaning your torso to the right, elbow toward the hip. Landing on your left foot, repeat on the other side. 	Medium	High	abs, lower back, glutes	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/happy-jacks
fist-and-open	Stand with your feet shoulder width apart, keep your back straight. Make sure that your breathing normal. Bend your arms at the elbows so that they are parallel to the ground, open and close your fist, do this for a series of repetitions. This exercise is a great way to build strength in the hands, wrists and forearms.  	Easy	Low	biceps	This exercise can be done seated.	This exercise can be done with hand weight grippers, or stress releif balls.	N/A	False	https://sworkit.com/exercise/fist-and-open
front-kicks	Stand up tall with good posture and raise your arms up straight in front of you to shoulder height. Then standing balanced on your left foot, lift your right leg up straight out in front of you. Aim to get the foot up to hip height, without bending it at the knee. This will be challenging if you have tight hamstrings.	Easy	Normal	abs, quadriceps	Make this exercise more accessible by bending the leg as your lift it. At the same time, invest some energy into stretching your hamstrings. As they get longer, you will improve at this exercise and be more able to perform it with a straight leg.	For a harder exercise that targets the same muscles try out Single Leg Squats.	N/A	False	https://sworkit.com/exercise/front-kicks
plank-walk-out	Start in a high plank position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. Feet should be between hip and shoulder width. This is your start position.	Hard	Low	abs, triceps, lower back	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/plank-walk-out
kettlebell-single-dead-lift-right-2	Start standing with the kettlebell in your right hand. Slight bend your left knee, tighten your core and hinge forward from your hip, lifting your right leg behind you. As you move through the motion try to maintain a straight line from your head to your toes. This can be done by keeping your core tight, shoulders pulled back and a straight leg. Keep your toes turned down toward the floor to try and keep your hips level. This is a total body exercise that strengths and challenges your balance.	Hard	Low	abs, upper back, glutes, hamstrings	To work up to this exercise try Back Leg Raise, Squat with Back Kick or Leg Pull Back to increase back and hamstring strength.	To increase the intensity increase the weight of the kettlebell or add a single leg jump at the standing position of the exercise.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-single-dead-lift-right-2
side-hops	Start off in a standing position with your feet at hip width and your hands on your hips. Make sure you have space to jump out to each side of where you are standing. 	Medium	High	calves, glutes, quadriceps	Improve your side to side movement without the impact of jumping by trying our Side Sweep and Step Touch exercises.	Once you are confident hopping on two feet progress to our Single Leg Hops and our Single Lateral Hops.	N/A	False	https://sworkit.com/exercise/side-hops
wide-arm-push-ups	This is similar to a regular push-up, except that because your hands are set up wider than your shoulders it targets your chest more than your triceps.Place your hands on the floor just wider than shoulder width and at chest height then step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Medium	Normal	abs, triceps, chest, shoulders	As with regular width push-ups, you can make this easier by putting your knees on the floor and pivoting from your knees rather than your feet.	You can increase the challenge of this exercise by putting your feet up on something stable that is higher than floor level. Start off gradually using the first step of a staircase, then progress to having them on a bench or a chair or the second step of a staircase. 	chair	False	https://sworkit.com/exercise/wide-arm-push-ups
quadraplex	Start on your hands and knees with your knees set up below your hips and your hands set up below your shoulders. Keep your neck in neutral alignment, chin tucked and eyes looking down on the floor in front of you. Engage your core by drawing your belly button up in towards your spine, away from the floor.	Easy	Normal	abs, upper back, lower back, chest, shoulders, glutes, hamstrings	To make this easier break it down into sub-sections. Start with just moving one arm out, and bringing it back, then one leg, then the other arm, then the other leg. As you master this you can then try the full quadraplex.	Increase the challenge of this exercise by pausing at the top position and as you get stronger, increase the amount of time that you hold it for.	N/A	False	https://sworkit.com/exercise/quadraplex
three-legged-down-dog-left	From a standing position draw your belly button to your spine to activate the belly and fold forward from the hips. Bend your knees as much as you need to get your hands to reach the floor. Walk your hands out in front of you towards a Downward Dog position. Have the knees slightly bent whilst simultaneously directing your heels towards the floor, stretching the back of the legs. Aim to create a straight line with your spine from hands to hips, pull your belly button to your spine and pull your lower ribs into the body. Press your hands firmly into the floor and make space between the arms and the ears. Slowly lift your left leg up as high as it will go whilst keeping your hips level. Hold for a few breaths. Then bring the left leg down and walk your hands back to your feet to rise back up.	Medium	Normal	abs, triceps, chest, shoulders, calves, hamstrings	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/three-legged-down-dog-left
back-scratch	Stand with your feet shoulder width apart and bring one arm up and across, over your opposite shoulder. Then hold the back of your elbow with your opposite hand and push the eblow back as if you are trying to scratch between your shoulder blades on your back. Then switch sides and do this for a series of repetitions. Keep your back straight and breathing normal. This exercise is excellent for loosening up tight shoulders and chest muscles. 	Easy	Low	biceps, upper back, shoulders	This exercise can be done seated. 	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/back-scratch
warrior-pose-i-left	Start in a standing position facing the longest side of the mat. Step both feet out into a wide straddle. Turn to face your left leg as you turn your left foot in the direction you are now facing and turn the right foot 45 degrees towards the same direction. Reach both arms up overhead bringing the palms together and pull your belly button to your spine. Aim to square your hips to the way you are now facing and then bend deeply into your left knee. Press into your feet and hug them inwards (without them physically moving) to feel strength. Reverse out the same way by straightening the left leg, bringing the arms down and pivoting back to the side.	Easy	Normal	shoulders, calves, glutes, quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/warrior-pose-i-left
apple-picker	Keeping head up and spine straight, reach up as far as you can with one hand. Alternate arms, this is a great exercise to open the chest, and shoulders. It is important to time your breathing with exhaling as you raise your arms and inhale as the arms come down.  	Easy	Low	triceps, biceps, shoulders	This exercise can also be done seated. 	This exercise can be done in a low squat position, or as you raise your arm you can also raise your opposite knee. Also check out our vertical arm rotations exercise.	N/A	False	https://sworkit.com/exercise/apple-picker
side-bend-right	From a standing position, pull your belly button to your spine for core activation. Press your feet down into the floor and tuck your coccyx (tailbone) slightly to your chest to feel length in your lower back. Reach your arms out wide and trace a big circle until reaching straight upwards. Have palms shoulder width apart at the top, activate your core once again and then lift your fingers tips up to the ceiling as you slowly bend to the side. Feel a continual lift of the hands, the head and the chest towards the sky. Only go as far to the side as feels comfortable in the spine.	Easy	Low	abs, lower back	Do the same bend to the side with the arms by your sides, and hands holding onto your thighs for more support.	Hold in the side bend for a few breaths before coming out slowly.	N/A	False	https://sworkit.com/exercise/side-bend-right
jumping-planks	Start off on the floor on your hands and knees, then step your feet out and lift your knees up so you are in a high plank position with straight arms. Keep your shoulders above your hands in a straight line.	Medium	High	abs, triceps, upper back, lower back, shoulders, glutes, quadriceps	Use our Plank exercise and our Chase the Rabbit exercise as good ways to get familiar and stronger so that you can progress to these Jumping Planks.	Increase the complexity and intensity by progressing from this exercise to our Burpee exercise.	N/A	False	https://sworkit.com/exercise/jumping-planks
kettlebell-side-twist-standing	Begin standing with your feet shoulder width apart. Hold the kettlebell in both hands and fully extend your arms straight out in front of you. The kettlebell should be shoulder height. Engage your core. Twisting from your core move the kettlebell from right to left. Make sure to keep your shoulders pulled back and your hips as still as possible.	Medium	Low	abs, shoulders	For a simpler option try this same movement with no weight.	To increase the intensity of this workout increase the weight of your kettlebell.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-side-twist-standing
biceps-curl	Stand with feet about shoulder width apart, keeping back straight and head up, lower your arms so that elbows are at the side of your body, palms facing forward. Begin to curl your arms up from the elbow so that your fists curl up and in towards your shoulders, palms facing you and then lower to starting position, keep the motion consistent and exhale as raise your arms and inhale as your lower them.	Easy	Low	biceps	This exercise can be done seated.	This exercise can also be done with elastic hands, dumbells or barbells.	N/A	False	https://sworkit.com/exercise/biceps-curl
single-arm-dumbbell-swing-left	Stand with feet slightly wider than shoulder width. Hold the dumbbell in your left hand, with the arm straight down in front of your body. Keep the shoulders slightly pulled back and chest open. Your right arm can be kept up and out to your side for balance. Engage your core, push your hips back and bend your knees, pulling the dumbbell between your legs. Vigorously thrust your hips forward, and propel the dumbbell up and straight out to shoulder height. Ensure that your glutes are squeezed and knees are locked at this top position. Allow the dumbbell to come back down, push your hips back and bend your knees to &#8216;catch&#8217; the dumbbell between your legs.  Vigorously thrust your hips forward to start the next swing. Keep your eyes looking straight ahead for the duration of this exercise.  Remember to keep your chest up and open at all times. Keep your back in a neutral position and don&#8217;t allow yourself to bend forward or twist to one side. Your glutes and legs power this exercise, not your arms or shoulders.	Hard	Normal	abs, upper back, shoulders, glutes, hamstrings	You can use two hands to grip the dumbbell. This will feel more stable, with less chance of twisting the torso.	Swing the dumbbell up above the head. This will be more challenging for the shoulders and core.	Dumbbell	False	https://sworkit.com/exercise/single-arm-dumbbell-swing-left
dumbbell-single-leg-lift-to-press-right	Stand with good posture, holding dumbbells by your sides, with hands facing inward. Curl the dumbbells up to your shoulders, then press them overhead until your arms are straight. Reverse the movement, until the dumbbells are back by your sides. Lift your right leg off the ground slightly and hinge forward, pushing your right leg back behind you, whilst simultaneously lowering the dumbbells toward the ground. Keep your chest up and open. Swing your right leg forward and stand up straight with the dumbbells by your sides.	Hard	Normal	abs, triceps, shoulders, hamstrings, quadriceps	Complete the exercise with both feet remaining on the ground.	Perform the exercise holding one dumbbell only. The dumbbell should be held on the opposite side to the standing leg.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-single-leg-lift-to-press-right
foam-roller-pec-stretch-right	Lay on your stomach with the roller on your right side and hands flat on the ground. Use your hands to move the roller from the middle of your chest out to your right shoulder.	Easy	Low	chest, shoulders	N/A	N/A	N/A	True	https://sworkit.com/exercise/foam-roller-pec-stretch-right
prep-for-shoulder-stand	Lay on the floor with your knees bent to the sky and your feet near to your Glutes. Have your arms flat to the floor along side your body. Use your core strength and your arms pushing down into the floor to pike your feet overhead, taking your hips off the floor. Use your hands to support the lower back and then slowly raise your legs upwards, only going as far as they feel comfortable. To come out brace your belly and try to lower slowly without your head raising up off the floor. 	Medium	Normal	abs, triceps, upper back, lower back, shoulders, quadriceps	Use a block, bolster or a few books under the sacrum (lower back) instead of using your arms to hold you up.	As you become more familiar with the pose, you will be able to lift the hips higher above the shoulders and the feet higher above the hips into a vertical line.	N/A	False	https://sworkit.com/exercise/prep-for-shoulder-stand
foam-roller-ab-rollout	Begin on your knees with the roller in front of you and hands on the roller. Tighten your core as you move your arms forward. Make sure to keep your back straight.	Easy	Low	abs, triceps, shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-ab-rollout
resistance-band-row-seated	Sit on the floor with your legs straight and wide. Loop the band around the soles of both feet. Cross the handles over in your hands to make an X shape with it. Sit up tall with a straight back and use your arms to pull the handles into your ribs.	Medium	Low	upper back, chest	N/A	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Resistance Band	False	https://sworkit.com/exercise/resistance-band-row-seated
low-lunge-right-forward	From a standing position bend forward from the hips, bending your knees on the way down, so that you can take your hands comfortably to the floor. Then pull your belly button to spine to activate your core. Lift your left leg and step it as far back as you can reach it. Have your hips at the same height as the front knee, your chest lifted and keep your hands on the ground. Activate the legs by pushing the both feet down into the ground. Then activate the core and step the left leg back to the start position and stand up with a straight spine.	Easy	Normal	calves, glutes, hamstrings, quadriceps	Once in the low lunge you can take the back knee down to the floor to make it easier.	To make it more challenging, try to step further back in the lunge and slow down the movement. For example take 5 seconds to smoothly step all the way back. The core has to work harder to keep the leg in the air until it comes to the floor.	N/A	False	https://sworkit.com/exercise/low-lunge-right-forward
kettlebell-cross-crunch-left	Start laying on your back with your knees bent your feet flat on the floor. Hold the kettlebell in your left hand with the ball on the back of your arm. Extend your arm straight above you. Keeping your lower back pressed down into the floor, tuck your chin to your chest, draw your belly button down and contract your abdominals to roll your upper spine up off the floor. At the same time, twist from your core to push the kettlebell towards your right knee. This is the top position. From here lower yourself back to the floor by curling your spine down from bottom to top, as your head touches the floor. 	Medium	Low	abs, shoulders	An easier option for this exercise is to extend your legs so they are lying flat on the ground or to try our Elevated Crushes exercise. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-cross-crunch-left
in-and-out-abs	In this advanced core exercise, start off seating upright on the floor with your legs bent in front of you. Then, keeping a straight back, lift your hands off the floor, and pick your feet up as your draw your knees into your chest.	Hard	Normal	abs, lower back, quadriceps	Build up to this intense exercise with less intense exercises to strengthen your core and lower back such as: Quadraplex, Swimmer, T Raise, Sit-ups and Elevated Crunches.	Once you feel strong during our In Out Abs exercise, progress to V Sit-ups.	N/A	False	https://sworkit.com/exercise/in-and-out-abs
push-ups	Start at the top of the push up position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Easy	Low	abs, upper back, chest, shoulders	For an easier option, keep your knees on the floor and maintain a straight line from your knees up to your hips, shoulders and head. Then bend at the elbows to lower as per the full version. Or check out our wall push-ups, or push-up on knees to build up your strength before taking on diamond push-ups.	Once you have mastered this exercise with your knees off the floor, you can increase the challenge by putting your feet up on something stable higher than floor level. Start off gradually using the first step of a staircase, then progress to having them on a bench or a chair or the second step of a staircase.Or try our spiderman push-ups, divebomber push-ups, or the explosive push-up with clap as you get stronger.Make sure you can maintain a straight strong line through your body when trying these harder alternatives.	chair	False	https://sworkit.com/exercise/push-ups
rollover	From the supine rest position bring the knees in to the chest one at a time and extend both legs up to the ceiling. Lower the legs towards the mat, do not lower them past the point that you are able to maintain a neutral spine and pelvis.	Hard	Normal	abs, triceps, upper back, lower back, shoulders, quadriceps	To begin with try having the knees slightly bent if that is more comfortable. You could also use a folded towel under your pelvis to give yourself assistance starting the movement until you&#8217;ve developed you core strength.	As your strength and flexibility improves you can progress to taking the feet all the way to the floor behind your head as long as there is no strain on the neck.	N/A	False	https://sworkit.com/exercise/rollover
chair-pose-twist-left	From a standing position, pull your belly button to your spine for core activation. Press your feet down into the floor and tuck your coccyx (tailbone) slightly to your chest to feel length in your lower back. Reach your arms out wide and trace a big circle until reaching straight upwards with hands slightly apart. Bend your knees and sit backwards, going as low as you can. Check your core stays active and your spine is straight. Bring your hands together at your chest and rotate to the left putting your right elbow on the outside of the left knee. Hold the position for a few breaths. Come out by pushing into the feet and standing upwards, and then lower your arms to your side.	Medium	Normal	lower back, glutes, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	chair	False	https://sworkit.com/exercise/chair-pose-twist-left
spine-stretch-forward	Start by sitting upright with your legs out in front of you, feet are flexed and slightly wider than shoulder width apart. Rest your hands on the front of your legs with your palms facing down, make sure the shoulders are relaxed and down away from the ears.	Easy	Low	upper back, lower back, glutes, hamstrings	A common problem is tight hamstrings which make the start position difficult to attain. Sitting on a block will make this more comfortable.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	True	https://sworkit.com/exercise/spine-stretch-forward
kettlebell-push-pull-standing	Stand with your shoulder width apart and the kettlebell in both hands. Start with the kettlebell at chest height and your core tight. Pull your shoulders back and then press the kettlebell straight out in front of you, keeping your shoulders back. Keep the kettlebell at shoulder height as you pull it back towards your chest. Focus on keeping your upper body still as you move your arms. 	Medium	Low	abs, biceps, upper back, lower back, chest, shoulders	To build up to this try our Reach and Pull exercise. 	If this becomes too easy try any of our Diamond Push-up option to challenge yourself.	Kettlebell	False	https://sworkit.com/exercise/kettlebell-push-pull-standing
leg-extension	While seated in a chair, with feet shoulder length apart, straighten your leg, be sure to not lock your knee, lower your leg and repeat for a series of reps, then switch legs, keep your breathing steady and inhale as you lower your leg and exhale as you extend it. Keep your back straight and tight against the chair, keep your abs pulled in through the entire range of motion.  	Easy	Low	quadriceps	Try our Toe Pointer exercise as a good way to build up strength in your legs.	This exercise can be done on a weighted machine, an elastic band or with an ankle weight.	chair	False	https://sworkit.com/exercise/leg-extension
resistance-loop-fire-hydrants-right	Start on hands and knees with the band just above your knees. Lift your right knee out to the side against the resistance of the band.	Medium	Low	glutes	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-fire-hydrants-right
grasshoppers	Start this exercise by laying face down on a mat or a towel, resting your forehead on your hands. Bend your knees and lift your feet up so that they are touching each other, toes turned out, above your knees. Adjust your knees outwards slightly so they are wider than your hips. Your legs should make a diamond shape.	Medium	Normal	lower back, glutes, hamstrings	Build up strength in your glutes with our Clam Shells and in your lower back with our T Raise exercises first.	Once you have mastered the Grasshopper, give our Donkey Kick exercise a go as another great way to target glutes, hamstrings and lower back.	N/A	False	https://sworkit.com/exercise/grasshoppers
dive-bomber-push-ups	Start off on your hands and knees on the floor, width your feet and hands set at shoulder width. Then lift your hips up towards the ceiling and straighten your legs so that your body looks like an upside down V shape from the side. Aim to create a straight line through your body from your hands, arms, shoulders to your hips.	Hard	Normal	abs, triceps, upper back, lower back, chest, shoulders	Build up to this advanced push-up exercise with exercises such as: Downward Dog, Push-ups and Overhead Press.	N/A	N/A	False	https://sworkit.com/exercise/dive-bomber-push-ups
leg-lifts	Lay down on your back on a mat or a towel on a flat surface. Keep your back firmly pressed down against the floor and push your palms down into the floor, by your hips to help stabilize your core. Then with your legs straight and together, lift them up off the floor and bring them up above your head. As your feet reach up above your head, pick your hips up by pushing your hands into the floor and contracting your abs, this will enable you to push your legs up even higher towards the ceiling or sky.	Medium	Normal	abs, upper back, lower back, glutes, quadriceps	Make this exercise easier by bending your legs and tucking your knees into your stomach as your lift your feet up off the floor and above your head. 	Make this exercise more intense by having your hands on the floor at shoulder height, or even over head, anchoring them off a stable object like a pillar or fence post.	N/A	False	https://sworkit.com/exercise/leg-lifts
chest-stretch	Start standing up tall with good posture, then interlace your fingers behind your back. Squeeze your hands together and lift your arms up behind you away from your hips. At the same time push your chest forwards and up to increase the stretch. Hold this position for the duration of the stretch	Easy	Low	chest, shoulders	If you are unable to interlace your hands behind your back, you can use a towel or a belt and hold it with both hands behind your back. As you flexibility improves you will be able to hold it with your hands closer and closer to each other until you will be able to interlace your fingers and no longer require the towel / belt.	N/A	N/A	True	https://sworkit.com/exercise/chest-stretch
sprinter	Stand on some flat ground and bend your elbows to approximately 90 degrees and keep that at this angle during the exercise. Raise one arm up and lift the opposite foot up at the same time so that your knee comes up to the same height as your hips. Quickly hop from one foot to the other and at the same time swing your front arm back and the other arm forwards and up. As soon as you land onto the other foot, repeat this process of hopping and swinging your arms continuously for the duration of the exercise.	Medium	High	abs, triceps, biceps, chest, shoulders, calves, glutes, hamstrings, quadriceps	Try our similar movements that are at a slower pace first such as our March in Place, Standing Mountain Climber and Running in Place exercises	N/A	N/A	False	https://sworkit.com/exercise/sprinter
plank-hip-rotation	Start in a plank position, resting on your elbows and toes, with straight legs and feet together. Make your body as rigid as you can from your feet to your head to keep it in a straight &#8220;plank-like&#8221; shape side on. Do this by tensing your quads to lift your knee caps up your thighs, squeezing your glutes together, bracing your core and drawing your belly button up away from the floor, whilst at the same time pressing down into the floor with your elbows.	Medium	Low	abs, shoulders	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/plank-hip-rotation
double-leg-stretch	From the relaxed supine start position fold the legs in to the chest one at a time keeping your lower back and pelvis in neutral. The heels are together with the feet softly pointed and the knees slightly apart. Take a breath in to prepare, and as you breathe out curl the head and chest up off the mat and extend the arms forward bringing the hands to the outside of the shins. You are now in the start position for the exercise.	Easy	Normal	abs, lower back, glutes, quadriceps	If you feel the lower back arch at all as the legs extend, take the legs to a higher diagonal position to lighten the load. Or if you feel any strain in the neck, lower the head and complete the arm and leg movement with the head resting on the mat.	The legs can be extended to a lower diagonal position to increase the load and challenge the abdominal stability more.	N/A	True	https://sworkit.com/exercise/double-leg-stretch
plank-crunch-and-kickback-right	Start in a plank position, resting on your elbows and toes, with straight legs and feet together. Make your body as rigid as you can from your feet to your head to keep it in a straight &#8220;plank-like&#8221; shape side on. Do this by tensing your quads to lift your knee caps up your thighs, squeezing your glutes together, bracing your core and drawing your belly button up away from the floor, whilst at the same time pressing down into the floor with your elbows.	Hard	Normal	abs, lower back, shoulders, glutes, hamstrings, hip flexor	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/plank-crunch-and-kickback-right
kettlebell-one-arm-row-right	Begin in a lung position with your left foot forward and the kettlebell in your right hand.  Tighten your core and pull the kettle up next to your stomach, keep your shoulder blade retracted (you shoulder pulled back and still, the movement should come from your elbow). Your elbow should stay tucked to your side and your back straight. Control the kettlebell as you lower and repeat. 	Medium	Low	abs, triceps, upper back, shoulders, calves, quadriceps	Try to decrease the weight of the Kettlebell if this is too hard or switch to our of our numerous lunge options. 	To increase the intensity increase the weight of the kettlebell or try our Kettlebell Renegade Row. 	Kettlebell	False	https://sworkit.com/exercise/kettlebell-one-arm-row-right
dumbbell-hammer-curl	Stand with good posture and dumbbells by your sides, so the ends of them point forwards, like holding a hammer in each hand.  Raise the right dumbbell up to your right shoulder, keep you elbow tucked at your side then lower it. Repeat on the left arm and keep alternating arms for the duration of the exercise. Keep your core engaged and avoid swinging your body or arms to generate momentum.	Medium	Normal	biceps, 	You can do this exercise with lighter dumbbells or even just bodyweight or using a small bottle of water in each hand.	You can make this exercise harder by trying it with heavier dumbbells or by doing it for more reps or at a slower rate.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-hammer-curl
kneeling-circles	Kneel on the floor with you shins hip-width apart and your arms out to the side at shoulder height. Lean to the right until your right hand is palm down into the floor directly below your shoulder and bend the left elbow bringing your left hand behind your head, at the same time extend your left leg out to the side in line with the body and lifting until it is horizontal. 	Medium	Normal	abs, glutes, quadriceps	Reduce the size of the circle. Once you can control the position of the spine and pelvis and the movement is smooth, begin to increase the range of the movement.	N/A	N/A	False	https://sworkit.com/exercise/kneeling-circles
foam-roller-hip-flexor-and-psoas-stretch-left	Start with the roller at your lower back. Roll back onto it while you lift your left knee to your chest. Hold.	Easy	Low	lower back, glutes, hamstrings, hip flexor	N/A	N/A	N/A	True	https://sworkit.com/exercise/foam-roller-hip-flexor-and-psoas-stretch-left
jump-rope-hops	Start in a standing position with your feet at hip width. Hold your arms out away from your sides as if you were holding a jump rope. Lift up on to your toes and hop up and down on both feet. Keep your heals off the ground for the duration of the exercise.	Easy	High	calves, quadriceps	N/A	Once you feel confident with hopping in a straight line on two legs try our Single Leg and Side Hops exercises.	N/A	False	https://sworkit.com/exercise/jump-rope-hops
rear-lunges	Start standing up with your feet at hip width, and your hands on your hips so that you can feel that they stay level as you step back and forth. Also, before you start make sure you have enough clear level floor space behind you to be able to take a big step backwards. 	Medium	Normal	calves, glutes, hamstrings, quadriceps	Our Chair Squat and regular Squats exercises are a good way to build up leg strength using a more simple movement pattern, so be sure to feel confident with these before starting out with Rear Lunges.	Make Rear Lunges harder by stepping your back foot out at an angle with our Reverse V Lunges, then try our Forward Lunges.	chair	False	https://sworkit.com/exercise/rear-lunges
staff-pose	Sit on the floor with your legs extended out in front of you and your torso upright. Press your thighs down into the floor, slightly internally rotate them and feel your pubis bone lengthening down to the floor. Flex your feet so they are active. Press into your hands with fingers pointing forward. Press down into the floor with your sitting bones and feel a lift of your crown up to the ceiling. Feel a lift of the sternum and let the shoulders naturally roll back and down your back. Keep lengthening between your sitting bones and crown feeling like you are getting more upright and straight whilst the legs remain active. Hold for a minute or more.	Easy	Low	lower back, hamstrings, quadriceps	Sit on a rolled up blanket or block to elevate your hips slightly to make straightening your spine easier.	N/A	N/A	False	https://sworkit.com/exercise/staff-pose
warrior-pose-iii-left	Start from a standing position. Step your right leg forward, lift your left leg behind you and reach your arms out in front of you. Draw your belly button to spine, press your right foot down into the floor, press your left foot into an imaginary wall behind you and reach your arms far forward without hunching. Try to make a sharp letter &#8216;T&#8221; shape.	Medium	Normal	abs, lower back, calves, glutes, hamstrings, quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/warrior-pose-iii-left
